Value00,Value01,Value02,Value03,Value04,Value05,Value06,Value07,Value08,Value09,TGT0,TGT1,TGT2,TGT3
1.24,-0.87,-0.53,-0.34,-0.25,-0.58,-0.62,2.35,1.34,-1.14,25.15,72.15,277.74,233.53
-0.34,1.14,-0.53,0.24,-0.47,0.97,-1.46,0.3,-0.81,-0.01,156.98,56.14,68.72,143.2
0.06,0.41,2.21,-0.88,-0.35,-0.33,0.01,1.21,-1.43,-0.58,144.53,122.44,246.53,119.46
-1,-0.3,1.37,-0.09,1.03,-0.07,-1.22,-0.6,1.55,1.03,36.49,181.33,165.09,196.76
-0.3,0.91,0.01,-1.06,0.79,0.73,1.11,-0.13,0.09,-0.37,276.01,162.47,103.95,128.83
-0.31,-1.18,0.61,-0.06,-0.15,-1.32,0,0.15,-0.65,-1.84,-244.92,-163.88,-74.53,-203.3
0.48,0.62,-1.01,-0.97,0.41,-1.69,-1.67,-0.69,1.43,0.86,-74.09,13.54,36.31,-8.63
-0.02,-0.64,-0.69,1.71,0.71,-0.45,-0.59,-1.02,0.7,-0.59,-126.98,13.04,-7.25,60.22
-0.14,-1.35,-0.45,-1.45,0.32,-0.47,-0.96,0.51,-0.33,-0.4,-149.32,-122.34,-120.09,-191.44
-0.53,-0.24,1.67,-2.12,-0.72,0.2,0.36,-1.46,-0.51,1.99,140.82,132.24,-3.48,-51.63
-0.28,0.13,0.17,-1.05,-0.48,-0.7,-1.25,0.17,-0.34,0.45,-17.2,-9.94,30.44,-50.99
-0.36,-1.17,1.3,0.7,-0.22,0.35,0.93,0.53,0.58,0.87,215.75,282.81,293.35,278.43
-1.22,-0.92,0.4,-0.42,0.5,-1.77,0.25,-0.47,-0.2,-0.65,-199.83,-108.57,-97.24,-271.02
0.22,0.47,0.5,0.1,1.33,-0.04,-0.66,-0.04,0.26,0.73,167.73,233.94,206.76,242.79
2.23,0.42,-1.79,0.36,1.12,-0.5,-0.26,0.85,0.67,0.36,211.28,248.52,263.78,324.16
0.12,-0.91,-0.3,0.26,-2.03,0.26,0.21,-0.54,-0.12,0.35,35.02,10.58,-2.3,14.34
1.52,0.11,-0.59,2.88,-0.76,-0.65,0.24,-1.03,-0.78,0.39,76.21,177.12,167.64,223.5
-0.18,0.48,-0.96,-0.24,-0.36,-0.22,-1.85,-0.79,-0.01,-0.24,-111.17,-103.29,-110.24,-70.52
-0.86,-1.15,0.56,0.69,-0.97,0.04,-2.08,1.37,-0.03,-1.48,-195.07,-128.69,53.98,23.67
-1.04,0.25,0.72,-0.78,0.66,-0.42,0.35,-0.52,-0.92,1.75,183.5,178.41,69.11,-27.49
0.55,-0.76,0.64,0.86,0.65,0.79,-0.32,0.76,0.78,0.59,205.6,299.56,308.25,399.15
-0.14,0.61,-1.15,-0.6,1.1,0.98,0.03,-1.11,-0.55,0.29,152.25,72.47,-88.3,4.94
-0.06,0.97,-0.2,1.57,2.03,-2.24,0.53,0.57,-0.04,-0.36,94.21,201.38,267.94,138.41
-0.46,1.05,-1.17,-0.55,-0.94,1.2,-0.12,-1.64,2.63,-0.58,122.03,30.91,-23.67,180.07
-1.21,-0.79,0.46,-1.4,2.38,1.14,-0.42,-0.95,0.76,-2.16,-152.43,-118.08,-205.82,-99.53
-1.8,0,0.67,0.69,-0.49,1.06,-0.2,-1.46,0.43,-0.01,46.59,38.87,-30.24,53.38
0.49,-0.36,-1.08,0.41,0.38,1.23,0.82,-0.7,-0.04,0.09,188,147.73,16.47,148.27
1.33,-1.53,-1.28,-0.79,-0.71,-0.51,-0.76,-0.45,-1.39,1.16,-93.13,-54.27,-145.33,-194.76
-1.46,-0.49,-0.18,-0.06,-0.67,0.66,-0.84,0.63,0.2,-0.11,39.97,-4.19,22.16,20.76
0.37,0.37,-3.02,-2.3,-0.42,1.13,-0.38,0.17,1.99,0.77,219.63,57.42,-40.74,70.07
